375,2019/12/30,c2,88,12320619
473,2020/01/02,c2,220,12320619
522,2020/01/02,c2,44,12320619
671,2020/01/07,c2,220,12320619
918,2020/01/14,c2,220,12320619
1056,2020/01/16,c2,220,12320619
1076,2020/01/16,c2,176,12320619
1131,2020/01/20,c2,132,12320619
1208,2020/01/20,c2,220,12320619
1241,2020/01/21,c2,396,12320619
1324,2020/01/23,c2,88,12320619
1397,2020/01/23,c2,308,12320619
1402,2020/01/23,c2,440,12320619
1606,2020/01/28,c2,88,12320619
1696,2020/01/30,c2,44,12320619
1751,2020/01/30,c2,132,12320619
2030,2020/02/06,c2,176,12320619
2074,2020/02/06,c2,88,12320619
2245,2020/02/11,c2,132,12320619
2284,2020/02/11,c2,176,12320619
2363,2020/02/13,c2,176,12320619
2546,2020/02/18,c2,264,12320619
2646,2020/02/20,c2,132,12320619
2674,2020/02/20,c2,44,12320619
