163,2019/12/22,c3,375,12322779
219,2019/12/22,c3,120,12322779
227,2019/12/23,c3,225,12322779
380,2019/12/29,c3,225,12322779
354,2019/12/30,c3,12,12322779
486,2019/12/31,c3,180,12322779
494,2019/12/31,c3,24,12322779
539,2020/01/03,c3,12,12322779
564,2020/01/03,c3,75,12322779
613,2020/01/07,c3,60,12322779
687,2020/01/07,c3,240,12322779
813,2020/01/13,c3,210,12322779
827,2020/01/13,c3,24,12322779
864,2020/01/13,c3,75,12322779
876,2020/01/13,c3,12,12322779
947,2020/01/15,c3,75,12322779
961,2020/01/15,c3,60,12322779
998,2020/01/15,c3,24,12322779
1154,2020/01/20,c3,36,12322779
1180,2020/01/20,c3,75,12322779
1192,2020/01/20,c3,90,12322779
1315,2020/01/22,c3,36,12322779
1346,2020/01/22,c3,60,12322779
1481,2020/01/27,c3,150,12322779
1501,2020/01/27,c3,225,12322779
1508,2020/01/27,c3,60,12322779
1663,2020/01/29,c3,120,12322779
1822,2020/01/31,c3,60,12322779
1886,2020/02/03,c3,24,12322779
1894,2020/02/03,c3,150,12322779
2036,2020/02/05,c3,48,12322779
2070,2020/02/06,c3,240,12322779
2108,2020/02/07,c3,90,12322779
2116,2020/02/07,c3,225,12322779
2123,2020/02/07,c3,24,12322779
2275,2020/02/11,c3,12,12322779
2316,2020/02/12,c3,150,12322779
2305,2020/02/13,c3,60,12322779
2407,2020/02/14,c3,150,12322779
2424,2020/02/14,c3,12,12322779
