75,2019/12/09,c6,429
80,2019/12/10,c6,1021
103,2019/12/16,c6,2526
122,2019/12/17,c6,383
267,2019/12/24,c6,116
344,2019/12/27,c6,54
389,2019/12/31,c6,790
152,2020/01/06,c6,104
610,2020/01/07,c6,509
816,2020/01/13,c6,3858
19,2020/01/14,c6,905
1044,2020/01/16,c6,96
1135,2020/01/20,c6,2846
1175,2020/01/21,c6,302
1408,2020/01/23,c6,215
1517,2020/01/27,c6,5074
1582,2020/01/28,c6,558
1752,2020/01/30,c6,335
1025,2020/02/03,c6,1683
1915,2020/02/04,c6,1067
2064,2020/02/06,c6,69
2151,2020/02/10,c6,2714
2361,2020/02/12,c6,80
2395,2020/02/14,c6,774
2477,2020/02/15,c6,528
2488,2020/02/17,c6,165
2495,2020/02/18,c6,2130
2587,2020/02/19,c6,210
2663,2020/02/20,c6,717
