184,2019/12/21,c3,110,12320670
189,2019/12/21,c3,352,12320670
343,2019/12/29,c3,330,12320670
352,2019/12/30,c3,88,12320670
362,2019/12/30,c3,242,12320670
401,2019/12/30,c3,176,12320670
407,2019/12/31,c3,110,12320670
872,2020/01/13,c3,88,12320670
885,2020/01/13,c3,44,12320670
895,2020/01/14,c3,66,12320670
911,2020/01/14,c3,66,12320670
925,2020/01/14,c3,66,12320670
991,2020/01/15,c3,88,12320670
1144,2020/01/20,c3,110,12320670
1210,2020/01/20,c3,44,12320670
1274,2020/01/21,c3,66,12320670
1283,2020/01/21,c3,132,12320670
1285,2020/01/21,c3,242,12320670
1314,2020/01/22,c3,242,12320670
1527,2020/01/27,c3,198,12320670
1545,2020/01/27,c3,198,12320670
1503,2020/01/28,c3,154,12320670
1575,2020/01/28,c3,132,12320670
1609,2020/01/28,c3,176,12320670
1692,2020/01/29,c3,110,12320670
1875,2020/02/03,c3,22,12320670
1904,2020/02/03,c3,88,12320670
1942,2020/02/04,c3,44,12320670
1950,2020/02/04,c3,22,12320670
1966,2020/02/04,c3,44,12320670
2214,2020/02/10,c3,44,12320670
