54,2019/12/05,c7,110,11000851
58,2019/12/05,c7,550,11000851
409,2019/12/31,c7,330,11000851
464,2019/12/31,c7,110,11000851
643,2020/01/07,c7,110,11000851
754,2020/01/09,c7,330,11000851
1172,2020/01/20,c7,330,11000851
1230,2020/01/21,c7,330,11000851
1297,2020/01/21,c7,110,11000851
1373,2020/01/23,c7,220,11000851
1655,2020/01/28,c7,220,11000851
1701,2020/01/29,c7,110,11000851
1801,2020/01/31,c7,110,11000851
1847,2020/02/03,c7,220,11000851
1992,2020/02/04,c7,110,11000851
2055,2020/02/06,c7,440,11000851
33,2020/02/10,c7,550,11000851
2248,2020/02/10,c7,220,11000851
48,2020/02/11,c7,110,11000851
1301,2020/02/11,c7,330,11000851
144,2020/02/12,c7,110,11000851
1727,2020/02/12,c7,220,11000851
2230,2020/02/12,c7,330,11000851
2349,2020/02/12,c7,550,11000851
2584,2020/02/19,c7,220,11000851
1978,2020/02/20,c7,440,11000851
2668,2020/02/20,c7,440,11000851
