165,2019/12/22,c3,198,12271469
217,2019/12/22,c3,66,12271469
230,2019/12/23,c3,330,12271469
377,2019/12/29,c3,132,12271469
484,2019/12/31,c3,330,12271469
504,2020/01/02,c3,44,12271469
537,2020/01/03,c3,44,12271469
566,2020/01/03,c3,132,12271469
685,2020/01/07,c3,264,12271469
833,2020/01/13,c3,264,12271469
866,2020/01/13,c3,66,12271469
878,2020/01/13,c3,44,12271469
944,2020/01/15,c3,132,12271469
963,2020/01/15,c3,132,12271469
999,2020/01/15,c3,44,12271469
1151,2020/01/20,c3,44,12271469
1178,2020/01/20,c3,198,12271469
1269,2020/01/22,c3,66,12271469
1343,2020/01/22,c3,198,12271469
1484,2020/01/27,c3,132,12271469
1500,2020/01/27,c3,198,12271469
1509,2020/01/27,c3,44,12271469
1661,2020/01/29,c3,66,12271469
1688,2020/01/29,c3,66,12271469
1824,2020/01/31,c3,198,12271469
1987,2020/02/05,c3,44,12271469
2004,2020/02/05,c3,66,12271469
2069,2020/02/06,c3,264,12271469
2109,2020/02/07,c3,66,12271469
2119,2020/02/07,c3,396,12271469
2243,2020/02/11,c3,198,12271469
2274,2020/02/11,c3,44,12271469
2307,2020/02/13,c3,198,12271469
2411,2020/02/14,c3,132,12271469
2608,2020/02/19,c3,66,12271469
2684,2020/02/21,c3,66,12271469
2764,2020/02/24,c3,132,12271469
