132,2019/12/24,c2,48,12222902
198,2019/12/27,c2,96,12222902
41,2019/12/30,c2,96,12222902
382,2019/12/31,c2,48,12222902
455,2020/01/02,c2,48,12222902
18,2020/01/06,c2,96,12222902
633,2020/01/06,c2,144,12222902
714,2020/01/08,c2,48,12222902
806,2020/01/13,c2,144,12222902
942,2020/01/14,c2,192,12222902
989,2020/01/15,c2,48,12222902
1003,2020/01/15,c2,192,12222902
1030,2020/01/16,c2,192,12222902
1037,2020/01/16,c2,192,12222902
1098,2020/01/17,c2,48,12222902
1148,2020/01/20,c2,96,12222902
1197,2020/01/20,c2,96,12222902
1263,2020/01/21,c2,288,12222902
1326,2020/01/22,c2,96,12222902
1328,2020/01/22,c2,192,12222902
1357,2020/01/23,c2,192,12222902
1447,2020/01/24,c2,240,12222902
1512,2020/01/27,c2,144,12222902
1546,2020/01/27,c2,192,12222902
1581,2020/01/28,c2,192,12222902
1646,2020/01/29,c2,144,12222902
1685,2020/01/29,c2,240,12222902
1837,2020/02/03,c2,192,12222902
1838,2020/02/03,c2,192,12222902
1970,2020/02/05,c2,144,12222902
2012,2020/02/05,c2,144,12222902
2076,2020/02/06,c2,144,12222902
2150,2020/02/10,c2,192,12222902
2154,2020/02/10,c2,240,12222902
2177,2020/02/10,c2,192,12222902
2188,2020/02/10,c2,192,12222902
2194,2020/02/10,c2,144,12222902
2210,2020/02/10,c2,192,12222902
2259,2020/02/11,c2,144,12222902
2287,2020/02/11,c2,192,12222902
2301,2020/02/12,c2,192,12222902
2372,2020/02/13,c2,144,12222902
2373,2020/02/13,c2,144,12222902
2612,2020/02/19,c2,144,12222902
2662,2020/02/20,c2,96,12222902
2676,2020/02/20,c2,48,12222902
2699,2020/02/21,c2,144,12222902
2763,2020/02/24,c2,144,12222902
2768,2020/02/24,c2,192,12222902
2769,2020/02/24,c2,240,12222902
