130,2019/12/18,c3,84,12395525
131,2019/12/18,c3,126,12395525
164,2019/12/22,c3,252,12395525
218,2019/12/22,c3,420,12395525
229,2019/12/23,c3,462,12395525
245,2019/12/24,c3,84,12395525
263,2019/12/24,c3,126,12395525
346,2019/12/29,c3,42,12395525
381,2019/12/29,c3,336,12395525
356,2019/12/30,c3,84,12395525
485,2019/12/31,c3,252,12395525
495,2019/12/31,c3,84,12395525
503,2020/01/02,c3,84,12395525
538,2020/01/03,c3,126,12395525
567,2020/01/03,c3,294,12395525
684,2020/01/07,c3,168,12395525
812,2020/01/13,c3,294,12395525
824,2020/01/13,c3,84,12395525
832,2020/01/13,c3,126,12395525
867,2020/01/13,c3,168,12395525
877,2020/01/13,c3,42,12395525
945,2020/01/15,c3,84,12395525
964,2020/01/15,c3,210,12395525
1000,2020/01/15,c3,126,12395525
1150,2020/01/20,c3,42,12395525
1179,2020/01/20,c3,252,12395525
1190,2020/01/20,c3,336,12395525
1270,2020/01/22,c3,84,12395525
1316,2020/01/22,c3,84,12395525
1344,2020/01/22,c3,84,12395525
1483,2020/01/27,c3,378,12395525
1499,2020/01/27,c3,210,12395525
1506,2020/01/27,c3,84,12395525
1658,2020/01/29,c3,84,12395525
1660,2020/01/29,c3,336,12395525
1687,2020/01/29,c3,210,12395525
1823,2020/01/31,c3,168,12395525
1887,2020/02/03,c3,168,12395525
1896,2020/02/03,c3,336,12395525
1985,2020/02/05,c3,126,12395525
2003,2020/02/05,c3,126,12395525
2037,2020/02/05,c3,126,12395525
2068,2020/02/06,c3,252,12395525
2111,2020/02/07,c3,336,12395525
2118,2020/02/07,c3,294,12395525
2122,2020/02/07,c3,42,12395525
2272,2020/02/11,c3,42,12395525
2315,2020/02/12,c3,84,12395525
2306,2020/02/13,c3,210,12395525
2410,2020/02/14,c3,210,12395525
2421,2020/02/14,c3,84,12395525
2556,2020/02/19,c3,42,12395525
2683,2020/02/21,c3,252,12395525
2765,2020/02/24,c3,168,12395525
